scanfield,scandate
211119000N034L2I,"2021-12-06 13:59:41"
21111900TS03XL2I,"2021-12-06 13:59:54"
21111900TS03XL2I,"2021-12-06 13:59:54"
21111900JK00XL9I,"2021-12-06 14:01:25"
21111900TS00XL4I,"2021-12-06 14:01:48"
21111900TS00XL4I,"2021-12-06 14:01:40"
21111900TS00XL4I,"2021-12-06 14:01:40"
2111190NKK000M3I,"2021-12-06 14:02:23"
2111190TUI00001I,"2021-12-06 14:02:36"
21111900TS03XL2I,"2021-12-06 14:04:59"
21111900TS03XL2I,"2021-12-06 14:04:59"
21111900JK03XL4I,"2021-12-06 14:05:23"
21111900AM001P1I,"2021-12-06 14:05:41"
2111190TUI00001I,"2021-12-06 14:05:48"
2111190NKK000L4I,"2021-12-06 14:05:56"
21111900TS02XL2I,"2021-12-06 14:06:25"
21111900JK02XL1I,"2021-12-06 14:06:44"
21111900AM001P1I,"2021-12-06 14:07:00"
2111190TUI00001I,"2021-12-06 14:07:05"
2111190NKK000L4I,"2021-12-06 14:07:17"
2111190NKK000L4I,"2021-12-06 14:07:39"
21111900TS000L4I,"2021-12-06 14:07:49"
21111900TS000L4I,"2021-12-06 14:07:50"
21111900JK000L2I,"2021-12-06 14:08:43"
21111900AM001P1I,"2021-12-06 14:08:57"
2111190TUI00001I,"2021-12-06 14:09:04"
2111190TUI00001I,"2021-12-06 14:40:15"
21111900TS000L4I,"2021-12-06 14:40:24"
21111900TS000L4I,"2021-12-06 14:40:24"
2111190NKK000M3I,"2021-12-06 14:40:44"
21111900AM001P1I,"2021-12-06 14:40:59"
21111900JK000L6I,"2021-12-06 14:41:12"
2111190NCK00XL3I,"2021-12-07 14:02:33"
2111190NCK00XL3I,"2021-12-07 14:03:00"
2111190NCK000L1I,"2021-12-07 14:03:02"
2111190NKK000M3I,"2021-12-07 14:03:20"
2111190TUI00001I,"2021-12-07 14:03:53"
2111190TUI00001I,"2021-12-07 14:04:02"
21111900JK00XL9I,"2021-12-07 14:04:19"
21111900AM001P1I,"2021-12-07 14:13:11"
21111900AM001P1I,"2021-12-07 14:13:11"
21111900AM001P1I,"2021-12-07 14:13:11"
21111900AM001P1I,"2021-12-07 14:13:11"
21111900AM001P1I,"2021-12-07 14:13:11"
21111900AM001P1I,"2021-12-07 14:13:11"
21111900AM001P1I,"2021-12-07 14:13:11"
21111900AM001P1I,"2021-12-07 14:13:11"
21111900AM001P2I,"2021-12-07 14:13:11"
2111190TUI00001I,"2021-12-07 14:13:51"
2111190TUI00001I,"2021-12-07 14:13:51"
2111190TUI00001I,"2021-12-07 14:13:51"
2111190TUI00001I,"2021-12-07 14:13:51"
2111190TUI00001I,"2021-12-07 14:13:51"
2111190TUI00001I,"2021-12-07 14:13:51"
2111190TUI00001I,"2021-12-07 14:13:51"
2111190TUI00001I,"2021-12-07 14:13:51"
2111190TUI00001I,"2021-12-07 14:13:51"
21111900TS000M2I,"2021-12-07 14:14:30"
21111900TS000M2I,"2021-12-07 14:14:30"
21111900JK000M3I,"2021-12-07 14:14:45"
2111190NKK000M3I,"2021-12-07 14:15:00"
21111900JK00XL9I,"2021-12-07 14:15:27"
2111190NKK000L4I,"2021-12-07 14:15:54"
2111190NKK000M3I,"2021-12-07 14:16:11"
21111900TS000L4I,"2021-12-07 14:16:27"
21111900TS000L4I,"2021-12-07 14:16:28"
21111900JK00XL9I,"2021-12-07 14:17:08"
2111190NKK000M3I,"2021-12-07 14:18:08"
21111900TS000M2I,"2021-12-07 14:18:39"
21111900TS000M2I,"2021-12-07 14:18:40"
21111900JK000L6I,"2021-12-07 14:18:57"
21111900JK000L6I,"2021-12-07 14:19:13"
2111190NKK000L4I,"2021-12-07 14:19:20"
21111900TS000L4I,"2021-12-07 14:19:25"
21111900TS000L4I,"2021-12-07 14:19:25"
21111900JK000L6I,"2021-12-07 14:22:57"
21111900TS000M2I,"2021-12-07 14:23:15"
21111900TS000M2I,"2021-12-07 14:23:15"
2111190NKK000M3I,"2021-12-07 14:23:30"
21111900TS02XL2I,"2021-12-07 14:24:01"
21111900TS02XL2I,"2021-12-07 14:24:01"
2111190NKK000L3I,"2021-12-07 14:24:13"
21111900JK02XL1I,"2021-12-07 14:24:30"
21111900JK000L6I,"2021-12-07 14:24:45"
